Site Name,Date,Entero Count,4 Days Total Rain (in),Number of Samples,Geometric Mean,Max,Min
Hudson above Mohawk River,10/13/18,>2420,1.6,72,27,>2420,<1
Hudson above Mohawk River,9/13/18,31,1.1,72,27,>2420,<1
Hudson above Mohawk River,8/17/18,104,0,72,27,>2420,<1
Hudson above Mohawk River,7/20/18,1986,0.4,72,27,>2420,<1
Hudson above Mohawk River,6/16/18,6,0.4,72,27,>2420,<1
Hudson above Mohawk River,5/9/18,15,0.3,72,27,>2420,<1
Mohawk River at Waterford,10/13/18,416,1.6,71,229,>2420,4
Mohawk River at Waterford,9/13/18,354,1.1,71,229,>2420,4
Mohawk River at Waterford,8/17/18,411,0,71,229,>2420,4
Mohawk River at Waterford,7/20/18,20,0.4,71,229,>2420,4
Mohawk River at Waterford,6/16/18,1300,0.4,71,229,>2420,4
Mohawk River at Waterford,5/9/18,46,0.3,71,229,>2420,4
Hudson River above Troy Lock,10/13/18,>2420,1.6,74,109,>2420,3
Hudson River above Troy Lock,9/13/18,44,1.1,74,109,>2420,3
Hudson River above Troy Lock,8/17/18,388,0,74,109,>2420,3
Hudson River above Troy Lock,7/20/18,345,0.4,74,109,>2420,3
Hudson River above Troy Lock,6/16/18,72,0.4,74,109,>2420,3
Hudson River above Troy Lock,5/9/18,17,0.3,74,109,>2420,3
Congress St. Bridge- Troy,10/13/18,>2420,1.6,75,77,>2420,2
Congress St. Bridge- Troy,9/13/18,101,1.1,75,77,>2420,2
Congress St. Bridge- Troy,8/17/18,549,0,75,77,>2420,2
Congress St. Bridge- Troy,7/20/18,270,0.4,75,77,>2420,2
Congress St. Bridge- Troy,6/16/18,71,0.4,75,77,>2420,2
Congress St. Bridge- Troy,5/9/18,22,0.3,75,77,>2420,2
Albany Rowing Dock,10/13/18,2420,1.6,73,65,>2420,3
Albany Rowing Dock,9/13/18,111,1.1,73,65,>2420,3
Albany Rowing Dock,8/17/18,44,0,73,65,>2420,3
Albany Rowing Dock,7/20/18,15,0.4,73,65,>2420,3
Albany Rowing Dock,6/16/18,104,0.4,73,65,>2420,3
Albany Rowing Dock,5/9/18,25,0.3,73,65,>2420,3
Dunn Memorial Bridge- Albany,10/13/18,>2420,1.6,75,69,>2420,2
Dunn Memorial Bridge- Albany,9/13/18,98,1.1,75,69,>2420,2
Dunn Memorial Bridge- Albany,8/17/18,33,0,75,69,>2420,2
Dunn Memorial Bridge- Albany,7/20/18,30,0.4,75,69,>2420,2
Dunn Memorial Bridge- Albany,6/16/18,19,0.4,75,69,>2420,2
Dunn Memorial Bridge- Albany,5/9/18,16,0.3,75,69,>2420,2
Island Creek/Normans Kill,10/13/18,>2420,1.6,72,81,>2420,2
Island Creek/Normans Kill,9/13/18,1203,1.1,72,81,>2420,2
Island Creek/Normans Kill,8/17/18,214,0,72,81,>2420,2
Island Creek/Normans Kill,7/20/18,8,0.4,72,81,>2420,2
Island Creek/Normans Kill,6/16/18,100,0.4,72,81,>2420,2
Island Creek/Normans Kill,5/9/18,27,0.3,72,81,>2420,2
Bethlehem Launch Ramp,10/13/18,1986,1.6,72,31,>2420,<1
Bethlehem Launch Ramp,9/13/18,36,1.1,72,31,>2420,<1
Bethlehem Launch Ramp,8/17/18,37,0,72,31,>2420,<1
Bethlehem Launch Ramp,7/20/18,13,0.4,72,31,>2420,<1
Bethlehem Launch Ramp,6/16/18,20,0.4,72,31,>2420,<1
Bethlehem Launch Ramp,5/9/18,15,0.3,72,31,>2420,<1
Castleton,10/13/18,1986,1.6,71,31,1986,<1
Castleton,9/13/18,58,1.1,71,31,1986,<1
Castleton,8/17/18,33,0,71,31,1986,<1
Castleton,7/20/18,10,0.4,71,31,1986,<1
Castleton,6/16/18,81,0.4,71,31,1986,<1
Castleton,5/9/18,13,0.3,71,31,1986,<1
Coeymans Landing,10/13/18,1733,1.6,72,23,1986,<1
Coeymans Landing,9/13/18,79,1.1,72,23,1986,<1
Coeymans Landing,8/17/18,35,0,72,23,1986,<1
Coeymans Landing,7/20/18,19,0.4,72,23,1986,<1
Coeymans Landing,6/16/18,23,0.4,72,23,1986,<1
Coeymans Landing,5/9/18,8,0.3,72,23,1986,<1
Coxsackie Waterfront Park,10/13/18,770,1.6,71,27,>2420,<1
Coxsackie Waterfront Park,9/13/18,1986,1.1,71,27,>2420,<1
Coxsackie Waterfront Park,8/17/18,16,0,71,27,>2420,<1
Coxsackie Waterfront Park,7/20/18,12,0.4,71,27,>2420,<1
Coxsackie Waterfront Park,6/16/18,146,0.4,71,27,>2420,<1
Coxsackie Waterfront Park,5/9/18,6,0.3,71,27,>2420,<1
Gay's Point mid-channel,10/13/18,233,1.6,72,15,>2420,<1
Gay's Point mid-channel,9/13/18,727,1.1,72,15,>2420,<1
Gay's Point mid-channel,8/17/18,28,0,72,15,>2420,<1
Gay's Point mid-channel,7/20/18,29,0.4,72,15,>2420,<1
Gay's Point mid-channel,6/16/18,6,0.4,72,15,>2420,<1
Gay's Point mid-channel,5/9/18,11,0.3,72,15,>2420,<1
Athens,10/13/18,517,1.6,72,37,>2420,5
Athens,9/13/18,189,1.1,72,37,>2420,5
Athens,8/17/18,36,0,72,37,>2420,5
Athens,7/20/18,39,0.4,72,37,>2420,5
Athens,6/16/18,14,0.4,72,37,>2420,5
Athens,5/9/18,15,0.3,72,37,>2420,5
Hudson Landing Ramp,10/13/18,575,1.6,73,25,>2420,2
Hudson Landing Ramp,9/13/18,98,1.1,73,25,>2420,2
Hudson Landing Ramp,8/17/18,12,0,73,25,>2420,2
Hudson Landing Ramp,7/20/18,28,0.4,73,25,>2420,2
Hudson Landing Ramp,6/16/18,15,0.4,73,25,>2420,2
Hudson Landing Ramp,5/9/18,9,0.3,73,25,>2420,2
Catskill Launch Ramp,10/12/18,435,1.3,74,13,>2420,<1
Catskill Launch Ramp,9/12/18,50,1.1,74,13,>2420,<1
Catskill Launch Ramp,8/16/18,31,0.1,74,13,>2420,<1
Catskill Launch Ramp,7/19/18,41,0.4,74,13,>2420,<1
Catskill Launch Ramp,6/15/18,12,0.4,74,13,>2420,<1
Catskill Launch Ramp,5/8/18,10,0.3,74,13,>2420,<1
Inbocht Bay,10/12/18,197,1.3,72,7,>2420,<1
Inbocht Bay,9/12/18,23,1.1,72,7,>2420,<1
Inbocht Bay,8/16/18,18,0.1,72,7,>2420,<1
Inbocht Bay,7/19/18,8,0.4,72,7,>2420,<1
Inbocht Bay,6/15/18,10,0.4,72,7,>2420,<1
Inbocht Bay,5/8/18,11,0.3,72,7,>2420,<1
Malden Launch Ramp,10/12/18,125,1.3,72,13,1986,<1
Malden Launch Ramp,9/12/18,28,1.1,72,13,1986,<1
Malden Launch Ramp,8/16/18,18,0.1,72,13,1986,<1
Malden Launch Ramp,7/19/18,3,0.4,72,13,1986,<1
Malden Launch Ramp,6/15/18,7,0.4,72,13,1986,<1
Malden Launch Ramp,5/8/18,7,0.3,72,13,1986,<1
Esopus Creek West,10/12/18,>2420,1.3,82,21,>2420,<1
Esopus Creek West,9/12/18,687,1.1,82,21,>2420,<1
Esopus Creek West,8/16/18,62,0.1,82,21,>2420,<1
Esopus Creek West,7/19/18,15,0.4,82,21,>2420,<1
Esopus Creek West,6/15/18,8,0.4,82,21,>2420,<1
Esopus Creek West,5/8/18,6,0.3,82,21,>2420,<1
Esopus Creek Entrance,10/12/18,>2420,1.3,125,23,>2420,<1
Esopus Creek Entrance,10/11/18,387,0.5,125,23,>2420,<1
Esopus Creek Entrance,9/12/18,579,1.1,125,23,>2420,<1
Esopus Creek Entrance,9/6/18,65,0,125,23,>2420,<1
Esopus Creek Entrance,8/16/18,22,0.1,125,23,>2420,<1
Esopus Creek Entrance,8/8/18,>2420,1.2,125,23,>2420,<1
Esopus Creek Entrance,7/19/18,25,0.4,125,23,>2420,<1
Esopus Creek Entrance,7/12/18,99,0,125,23,>2420,<1
Esopus Creek Entrance,6/15/18,2,0.4,125,23,>2420,<1
Esopus Creek Entrance,6/7/18,33,0.5,125,23,>2420,<1
Esopus Creek Entrance,5/12/18,15,0,125,23,>2420,<1
Esopus Creek Entrance,5/8/18,<1,0.3,125,23,>2420,<1
Tivoli Landing,10/12/18,116,1.3,73,5,>2420,<1
Tivoli Landing,9/12/18,15,1.1,73,5,>2420,<1
Tivoli Landing,8/16/18,37,0.1,73,5,>2420,<1
Tivoli Landing,7/19/18,<1,0.4,73,5,>2420,<1
Tivoli Landing,6/15/18,2,0.4,73,5,>2420,<1
Tivoli Landing,5/8/18,1,0.3,73,5,>2420,<1
Ulster Landing Beach,10/12/18,435,1.3,73,7,>2420,<1
Ulster Landing Beach,9/12/18,649,1.1,73,7,>2420,<1
Ulster Landing Beach,8/16/18,25,0.1,73,7,>2420,<1
Ulster Landing Beach,7/19/18,3,0.4,73,7,>2420,<1
Ulster Landing Beach,6/15/18,2,0.4,73,7,>2420,<1
Ulster Landing Beach,5/8/18,2,0.3,73,7,>2420,<1
Kingston Point Beach,10/13/18,>2420,1.7,120,9,>2420,<1
Kingston Point Beach,10/12/18,1986,1.6,120,9,>2420,<1
Kingston Point Beach,9/12/18,78,3.8,120,9,>2420,<1
Kingston Point Beach,9/8/18,14,0.1,120,9,>2420,<1
Kingston Point Beach,8/16/18,26,1.4,120,9,>2420,<1
Kingston Point Beach,8/11/18,30,1.6,120,9,>2420,<1
Kingston Point Beach,7/19/18,10,1.4,120,9,>2420,<1
Kingston Point Beach,7/14/18,29,0,120,9,>2420,<1
Kingston Point Beach,6/15/18,4,0,120,9,>2420,<1
Kingston Point Beach,5/12/18,14,0,120,9,>2420,<1
Kingston Point Beach,5/8/18,<1,0.4,120,9,>2420,<1
Kingston STP Outfall,10/12/18,>2420,1.6,77,87,>2420,2
Kingston STP Outfall,9/12/18,>2420,3.8,77,87,>2420,2
Kingston STP Outfall,8/16/18,172,1.4,77,87,>2420,2
Kingston STP Outfall,7/19/18,1419,1.4,77,87,>2420,2
Kingston STP Outfall,6/15/18,58,0,77,87,>2420,2
Kingston STP Outfall,5/8/18,35,0.4,77,87,>2420,2
Rondout- Kingston Public Dock,10/12/18,>2420,1.6,76,71,>2420,4
Rondout- Kingston Public Dock,9/12/18,>2420,3.8,76,71,>2420,4
Rondout- Kingston Public Dock,8/16/18,461,1.4,76,71,>2420,4
Rondout- Kingston Public Dock,7/19/18,72,1.4,76,71,>2420,4
Rondout- Kingston Public Dock,6/15/18,50,0,76,71,>2420,4
Rondout- Kingston Public Dock,5/8/18,20,0.4,76,71,>2420,4
Rondout- Eddyville Anchorage,10/13/18,>2420,1.7,123,49,>2420,<1
Rondout- Eddyville Anchorage,10/12/18,>2420,1.6,123,49,>2420,<1
Rondout- Eddyville Anchorage,9/12/18,>2420,3.8,123,49,>2420,<1
Rondout- Eddyville Anchorage,9/8/18,1120,0.1,123,49,>2420,<1
Rondout- Eddyville Anchorage,8/16/18,461,1.4,123,49,>2420,<1
Rondout- Eddyville Anchorage,8/11/18,921,1.6,123,49,>2420,<1
Rondout- Eddyville Anchorage,7/19/18,60,1.4,123,49,>2420,<1
Rondout- Eddyville Anchorage,7/14/18,248,0,123,49,>2420,<1
Rondout- Eddyville Anchorage,6/15/18,44,0,123,49,>2420,<1
Rondout- Eddyville Anchorage,5/12/18,4,0,123,49,>2420,<1
